SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
513472,SIMPLEX CAST,XT,Q,199.95,204.50,198.70,202.10,202.80,199.65,107,5797,1166301.00,,INE658D01011,19-Jun-24,,
513488,SH.STEEL WIR,X ,Q,39.60,40.79,39.20,39.26,39.26,39.21,49,6191,246003.00,,INE387D01025,19-Jun-24,,
513496,SIZEMASTER  ,XT,Q,180.00,180.00,180.00,180.00,180.00,181.00,2,2,360.00,,INE235U01012,19-Jun-24,,
513498,SOUTH.MAGNES,XT,Q,234.00,237.20,227.50,235.85,234.95,238.70,58,1837,428754.00,,INE308N01012,19-Jun-24,,
513502,BARODA EXTR.,XT,Q,7.15,7.35,7.00,7.12,7.12,7.06,429,209332,1505691.00,,INE927K01023,19-Jun-24,,
513507,GUJ.CONTAIN.,P ,Q,164.35,170.60,164.35,170.60,170.60,164.30,3,300,50055.00,,INE276I01011,19-Jun-24,,
513509,KALYANI FORG,B ,Q,649.85,665.45,580.10,665.45,665.45,554.55,306,26731,17742536.00,,INE314G01014,19-Jun-24,,
513511,PANCH.STEEL ,XT,Q,226.00,230.00,220.25,228.00,228.00,224.45,70,46674,10550585.00,,INE798F01010,19-Jun-24,,
513513,ADITYA ISPAT,X ,Q,10.02,10.67,10.02,10.67,10.67,10.67,14,2381,25256.00,,INE570B01012,19-Jun-24,,
513515,S.R.INDUS.  ,Z ,Q,1.37,1.41,1.31,1.40,1.40,1.35,87,13922,18502.00,,INE329C01011,19-Jun-24,,
513517,STEELCAST   ,B ,Q,649.00,649.60,631.45,634.45,634.55,652.05,310,1690,1077329.00,,INE124E01020,19-Jun-24,,
513519,PITTIENG    ,B ,Q,1009.70,1009.70,982.50,997.20,1000.60,1000.35,605,3364,3344341.00,,INE450D01021,19-Jun-24,,
513528,GLITTEK GRAN,X ,Q,3.08,3.08,2.90,2.90,2.90,2.96,16,5218,15432.00,,INE741B01027,19-Jun-24,,
513532,PRADEEP MET.,X ,Q,245.95,246.45,238.05,242.90,243.00,242.80,192,13252,3204372.00,,INE770A01010,19-Jun-24,,
513536,GNRL        ,X ,Q,14.92,14.99,13.75,13.97,13.90,14.64,719,217811,3090148.00,,INE207H01018,19-Jun-24,,
513548,SHARDA ISPAT,X ,Q,487.00,494.70,475.10,494.70,494.70,412.25,529,27213,13357368.00,,INE385M01012,19-Jun-24,,
513554,MAHA STEEL  ,B ,Q,104.60,107.75,103.60,105.10,105.25,105.45,131,3086,325865.00,,INE451L01014,19-Jun-24,,
513566,NOVA IRON&ST,XT,Q,25.40,25.40,23.99,24.03,24.00,24.93,102,11750,285561.00,,INE608C01026,19-Jun-24,,
513575,STERPOW     ,XT,Q,40.72,40.72,40.72,40.72,40.72,41.55,182,65143,2652622.00,,INE067E01013,19-Jun-24,,
513579,FOUNDRY FUEL,Z ,Q,12.47,12.47,11.85,11.85,11.85,12.47,13,947,11375.00,,INE617C01027,19-Jun-24,,
